,ID,Attraction,Violation,Condition,ilm_sent_mean_surp,ilm_target_mean_surp,distilgpt2_sent_mean_surp,distilgpt2_target_mean_surp,gptneo_sent_mean_surp,gptneo_target_mean_surp,ilm_len_tokens,distilgpt2_len_tokens,gptneo_len_tokens,attraction,violation,morphosyntactic_violation,semantic_violation,morphosyntactic_attraction,semantic_attraction
104,21,semantic,semantic,d,6.1,5.29,7.35,6.11,6.44,5.03,9,9,9,1,1,0,1,0,1
105,22,none,none,s,4.75,4.72,5.7,4.63,4.98,4.43,9,9,9,0,0,0,0,0,0
106,22,none,morphosyntactic,a,5.3,7.89,6.21,7.64,5.52,7.47,9,9,9,0,1,1,0,0,0
107,22,morphosyntactic,morphosyntactic,b,5.27,7.41,6.18,6.97,5.6,7.75,9,9,9,1,1,1,0,1,0
108,22,none,semantic,c,5.39,8.0,6.28,7.65,5.59,7.48,9,9,9,0,1,0,1,0,0
109,22,semantic,semantic,d,4.9,6.71,5.59,6.63,4.27,4.21,11,11,11,1,1,0,1,0,1
110,23,none,none,s,6.21,6.01,7.05,6.82,6.4,5.89,8,8,8,0,0,0,0,0,0
111,23,none,morphosyntactic,a,6.91,12.59,7.7,12.79,7.0,10.58,8,8,8,0,1,1,0,0,0
112,23,morphosyntactic,morphosyntactic,b,6.85,10.18,7.57,10.38,6.79,8.71,8,8,8,1,1,1,0,1,0
113,23,none,semantic,c,6.83,11.97,7.73,13.21,7.37,14.28,8,8,8,0,1,0,1,0,0
114,23,semantic,semantic,d,6.61,10.67,7.28,12.39,6.58,11.38,8,8,8,1,1,0,1,0,1
115,24,none,none,s,5.51,8.46,5.98,5.86,5.76,9.0,8,8,8,0,0,0,0,0,0
116,24,none,morphosyntactic,a,6.15,14.37,6.63,12.71,6.22,13.09,8,8,8,0,1,1,0,0,0
117,24,morphosyntactic,morphosyntactic,b,6.27,13.78,6.73,11.47,6.66,13.01,8,8,8,1,1,1,0,1,0
118,24,none,semantic,c,6.23,13.64,6.71,11.85,6.49,14.96,8,8,8,0,1,0,1,0,0
